🕘️更新时间,#genre#
2026-04-17 11:54:57,http://120.76.248.139/live/bfgd/4200000061.m3u8

📺央视频道,#genre#
CCTV-2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV-6,https://stream1.freetv.fun/7f1d25301e793ceb7fd1cbfdc02e81252ad78b67dd82d993fff0bd1f909e5af2.m3u8
CCTV-7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV-11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-12,http://23.237.228.134/live3/CCTV12.m3u8
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8

📡卫视频道,#genre#
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
湖南卫视,https://epg.pw/stream/d52964aac9910bfbdd885e0138b82fe305407bea3bb18b1f38f97190e60ec9b5.m3u8
北京卫视,https://stream1.freetv.fun/217f4f75f9a74bf1809629bcbb3fa197c1ba1b4ba529514de80cde5171e972a0.m3u8
北京卫视,https://epg.pw/stream/ed16a4cd210c9f9d6204ddc6fb5def63a1c54b60114fb61679e61363edea068b.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
安徽卫视,http://222.169.85.8:9901/tsfile/live/0130_1.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
河南卫视,http://222.169.85.8:9901/tsfile/live/0139_1.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
山西卫视,http://182.114.49.159:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/snwshd.m3u8?auth=testpub
陕西卫视,http://182.114.49.159:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,https://stream1.freetv.fun/3c264c25b1f8debffea48cd474ef8b830ced737528778624f006949a84930657.m3u8
四川卫视,https://epg.pw/stream/c1d7aa9fdbe369ae7c3242d0dade547b7987e1e37e7e2098a45e794c3296f862.ctv
四川卫视,http://39.152.103.17:8089/tsfile/live/1044_1.m3u8
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
西藏卫视,http://107.150.60.122/live/xzws.m3u8

☘️广东频道,#genre#
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
